"DATE,AWS SERVICES,COST(in $)",Total
"2022-11-02,AWS Cost Explorer,0"
"2022-11-02,AWS Data Transfer,-0.0000000536"
"2022-11-02,Amazon DynamoDB,0"
"2022-11-02,Amazon Simple Notification Service,0"
"2022-11-02,Amazon Simple Storage Service,0.0000000536"
"2022-11-02,AmazonCloudWatch,0"
